19                                # ntRc (followed by periods)
0.2 0.6 1. 1.4 1.8 2.2 2.6 3. 3.4 3.8 4.2 4.6 5.  5.4 5.8 6.2 6.6 7. 7.4
19                                # ntRg (followed by periods)
0.2 0.6 1.  1.4 1.8 2.2 2.6 3.  3.4 3.8 4.2 4.6 5.  5.4 5.8 6.2 6.6 7  7.4
0                                 # ntLc (followed by periods)
0                                 # ntLg
# 108.646000 31.962600 6 0 2 0
105.764100 33.732800 3.082300
106.020600 34.342500 3.114000
104.991700 33.357400 3.048400
106.139500 33.356800 3.080200
107.817000 34.128300 3.125100
106.800200 33.229300 3.057500
# 107.232500 29.905000 2 0 2 0
102.060100 34.020000 2.753100
104.770000 26.650000 2.904600
# 107.437500 29.726300 1 0 2 0
106.020600 34.342500 2.827200
# 108.795800 29.563800 12 0 2 0
108.460700 30.751900 2.845000
105.764100 33.732800 2.826000
106.020600 34.342500 2.858800
105.350000 27.243500 3.103300
104.770000 26.650000 3.093800
106.840200 30.416300 2.811300
103.040800 30.074800 2.719300
107.717500 31.373800 2.768800
106.800200 33.229300 2.794600
108.323400 33.325300 2.916400
107.716100 32.910100 2.881500
108.324200 34.055300 2.959800
# 108.370000 30.245000 5 0 2 0
106.916600 28.875000 2.954200
106.020600 34.342500 2.838800
109.037200 32.669800 2.808200
108.323400 33.325300 2.890200
108.924000 34.030000 2.912600
# 106.916600 28.875000 5 0 2 0
101.271900 27.932400 2.835400
102.750300 26.854800 2.903300
101.011700 30.034400 2.748300
102.259600 27.848600 2.910500
108.323400 33.325300 2.784700
# 108.460700 30.751900 5 0 2 0
105.764100 33.732800 2.852900
103.230800 34.061800 2.851100
104.380600 33.811400 2.840300
106.139500 33.356800 2.807400
107.817000 34.128300 2.954500
# 107.826500 29.188000 4 0 2 0
104.515600 28.178900 2.869300
103.134600 28.327400 2.772900
107.817000 34.128300 2.828100
108.924000 34.030000 2.902900
# 106.827300 29.858300 1 0 2 0
105.350000 27.243500 2.812300
# 105.764100 33.732800 5 0 2 0
103.230800 34.061800 3.076200
104.023200 34.428900 3.063200
104.380600 33.811400 3.064600
101.121500 30.991000 2.968900
103.570300 28.272200 2.729800
# 103.230800 34.061800 5 0 2 0
101.121500 30.991000 2.925800
105.227700 32.593200 2.962000
107.717500 31.373800 2.885100
107.009700 33.018300 3.073900
106.800200 33.229300 3.106100
# 102.060100 34.020000 7 0 2 0
105.350000 27.243500 2.817700
101.121500 30.991000 2.956400
102.986700 32.063700 2.923000
103.570300 28.272200 2.961400
103.852100 31.680900 2.961700
100.979900 32.268700 2.885300
104.672900 31.792500 2.903500
# 104.023200 34.428900 7 0 2 0
101.121500 30.991000 2.962100
103.603100 32.649700 2.926900
103.587600 31.479000 2.989000
103.789500 29.052600 2.793200
107.717500 31.373800 2.887100
109.037200 32.669800 3.108500
107.009700 33.018300 3.077500
# 106.020600 34.342500 5 0 2 0
108.879300 30.373100 2.952700
103.570300 28.272200 2.730500
104.548200 32.415700 3.086000
100.979900 32.268700 2.927400
101.011700 30.034400 3.013800
# 104.991700 33.357400 8 0 2 0
102.223900 31.903900 3.007500
100.979900 32.268700 2.962000
103.603100 32.649700 3.053400
101.011700 30.034400 3.066900
109.037200 32.669800 3.070600
107.817000 34.128300 3.057500
107.285200 34.070700 2.992200
107.716100 32.910100 3.076700
# 104.677500 32.949700 3 0 2 0
102.964700 33.581500 2.963600
103.587600 31.479000 3.072300
103.716900 27.321900 2.798300
# 104.380600 33.811400 6 0 2 0
102.986700 32.063700 2.828100
103.789500 29.052600 2.784400
107.717500 31.373800 2.862700
103.568900 30.869200 2.969300
109.037200 32.669800 3.132800
107.009700 33.018300 3.099400
# 105.350000 27.243500 9 0 2 0
109.494400 30.276200 3.087100
103.187700 27.809500 3.069100
101.512500 28.995800 3.027500
101.271900 27.932400 2.965700
102.542400 27.383900 3.023400
102.750300 26.854800 2.995000
103.789500 29.052600 2.867100
102.449100 27.861500 2.976800
103.716900 27.321900 3.038800
# 108.130000 28.220000 7 0 2 0
104.770000 26.650000 3.101600
103.187700 27.809500 3.048100
104.735900 28.636000 2.843000
106.840200 30.416300 2.891200
104.515600 28.178900 3.031300
105.413600 28.872400 2.822700
102.259600 27.848600 2.991500
# 104.770000 26.650000 6 0 2 0
104.545600 31.004500 2.805500
101.512500 28.995800 2.981000
105.413600 28.872400 2.879400
101.271900 27.932400 2.897000
102.259600 27.848600 2.854600
101.677600 27.466900 2.971600
# 104.303000 26.907100 3 0 2 0
102.252800 26.653000 2.973800
101.512500 28.995800 2.955800
102.964700 33.581500 2.964600
# 109.494400 30.276200 5 0 2 0
109.037200 32.669800 2.928200
106.139500 33.356800 2.936000
107.817000 34.128300 3.008100
107.285200 34.070700 2.989700
108.924000 34.030000 2.996300
# 108.879300 30.373100 4 0 2 0
109.037200 32.669800 2.871400
109.375600 34.112800 2.924200
109.212400 34.352300 2.881900
107.716100 32.910100 2.899700
# 104.431100 31.638000 4 0 2 0
104.548200 32.415700 2.856900
105.227700 32.593200 2.954300
102.964700 33.581500 2.923000
108.924000 34.030000 3.076600
# 103.187700 27.809500 3 0 2 0
102.964700 33.581500 2.977000
103.603100 32.649700 2.938100
103.568900 30.869200 2.787100
# 106.744500 31.840800 2 0 2 0
107.009700 33.018300 2.880200
107.285200 34.070700 2.998900
# 103.757800 30.910000 2 0 2 0
101.512500 28.995800 3.067600
100.979900 32.268700 2.999100
# 101.121500 30.991000 1 0 2 0
103.040800 30.074800 2.913600
# 103.454200 29.576700 1 0 2 0
101.011700 30.034400 2.959500
# 102.172600 30.117300 5 0 2 0
103.570300 28.272200 3.018400
103.533600 28.840500 3.018200
103.134600 28.327400 3.013700
103.789500 29.052600 3.015400
102.449100 27.861500 3.036800
# 102.252800 26.653000 3 0 2 0
101.271900 27.932400 3.008600
102.357900 30.995000 3.030400
101.011700 30.034400 3.079900
# 102.986700 32.063700 3 0 2 0
100.861500 27.714300 3.037200
102.964700 33.581500 2.928700
106.800200 33.229300 3.124100
# 106.840200 30.416300 2 0 2 0
102.173900 28.332600 2.789700
108.323400 33.325300 2.796500
# 101.512500 28.995800 2 0 2 0
103.040800 30.074800 2.905500
103.134600 28.327400 2.983100
# 105.559700 32.205400 4 0 2 0
102.964700 33.581500 2.968400
103.603100 32.649700 3.060500
107.716100 32.910100 3.046800
108.324200 34.055300 3.016700
# 103.570300 28.272200 1 0 2 0
102.349500 29.226000 3.026500
# 100.861500 27.714300 3 0 2 0
102.223900 31.903900 3.060700
102.349500 29.226000 3.016900
102.750300 26.854800 2.947200
# 105.413600 28.872400 2 0 2 0
106.139500 33.356800 2.728700
103.716900 27.321900 2.813400
# 103.533600 28.840500 2 0 2 0
102.223900 31.903900 2.916400
103.603100 32.649700 2.810800
# 103.040800 30.074800 4 0 2 0
102.223900 31.903900 2.939000
103.134600 28.327400 2.920500
102.964700 33.581500 2.916800
100.979900 32.268700 2.988600
# 102.223900 31.903900 4 0 2 0
103.852100 31.680900 3.025800
104.548200 32.415700 3.026100
101.011700 30.034400 3.093400
106.139500 33.356800 3.090300
# 103.134600 28.327400 2 0 2 0
103.852100 31.680900 2.921700
106.139500 33.356800 2.783600
# 101.271900 27.932400 2 0 2 0
102.750300 26.854800 2.979400
105.901600 31.018300 3.032300
# 102.173900 28.332600 1 0 2 0
103.789500 29.052600 2.952900
# 103.852100 31.680900 3 0 2 0
100.979900 32.268700 3.075700
101.011700 30.034400 3.027000
107.716100 32.910100 2.970200
# 102.542400 27.383900 1 0 2 0
103.716900 27.321900 3.011600
# 104.548200 32.415700 1 0 2 0
102.357900 30.995000 3.057800
# 101.742500 26.503300 1 0 2 0
103.716900 27.321900 3.052700
# 105.227700 32.593200 2 0 2 0
102.964700 33.581500 3.009000
109.037200 32.669800 3.061300
# 102.964700 33.581500 2 0 2 0
102.750300 26.854800 3.015300
109.037200 32.669800 3.065400
# 100.979900 32.268700 3 0 2 0
103.603100 32.649700 2.976300
107.285200 34.070700 2.975700
108.324200 34.055300 3.023300
# 102.349500 29.226000 1 0 2 0
102.750300 26.854800 2.874100
# 102.750300 26.854800 2 0 2 0
101.677600 27.466900 3.028400
103.716900 27.321900 2.963100
# 103.603100 32.649700 1 0 2 0
107.717500 31.373800 2.810600
# 103.587600 31.479000 4 0 2 0
101.011700 30.034400 3.019900
104.672900 31.792500 2.999900
109.037200 32.669800 2.915600
107.716100 32.910100 3.008200
# 107.717500 31.373800 1 0 2 0
106.800200 33.229300 2.792600
# 102.357900 30.995000 1 0 2 0
101.011700 30.034400 3.037600
# 101.011700 30.034400 1 0 2 0
101.677600 27.466900 3.072400
# 104.672900 31.792500 1 0 2 0
107.432500 33.253200 2.921500
# 108.323400 33.325300 1 0 2 0
103.716900 27.321900 2.759400
# 108.646000 31.962600 13 1 2 0
106.827300 29.858300 2.863900
105.764100 33.732800 3.183500
106.020600 34.342500 3.181300
104.991700 33.357400 3.136300
108.879300 30.373100 2.897900
101.121500 30.991000 2.992700
103.927600 29.793900 2.866800
102.223900 31.903900 3.066600
103.852100 31.680900 2.923100
105.901600 31.018300 2.828100
106.139500 33.356800 3.172900
107.817000 34.128300 3.181300
106.800200 33.229300 3.159300
# 107.232500 29.905000 8 1 2 0
102.060100 34.020000 2.898000
105.350000 27.243500 2.967000
104.770000 26.650000 2.998700
109.494400 30.276200 2.935500
103.187700 27.809500 2.921400
109.037200 32.669800 2.864800
107.285200 34.070700 2.950600
107.716100 32.910100 2.878800
# 106.572900 29.422100 7 1 2 0
105.443000 29.379200 2.888200
104.303000 26.907100 2.932600
101.742500 26.503300 2.996300
107.817000 34.128300 2.929800
108.924000 34.030000 2.971400
108.324200 34.055300 2.951200
103.716900 27.321900 2.929300
# 107.437500 29.726300 10 1 2 0
108.460700 30.751900 2.887000
106.020600 34.342500 2.937500
104.770000 26.650000 3.104400
109.494400 30.276200 3.082800
102.252800 26.653000 2.955100
103.134600 28.327400 2.876400
101.271900 27.932400 2.939300
102.750300 26.854800 2.947400
107.817000 34.128300 2.994500
107.285200 34.070700 2.952000
# 108.795800 29.563800 19 1 2 0
108.460700 30.751900 2.965100
105.764100 33.732800 2.932500
106.020600 34.342500 2.979800
105.350000 27.243500 3.177100
104.770000 26.650000 3.166500
104.735900 28.636000 2.913400
106.840200 30.416300 2.926300
105.413600 28.872400 2.959000
103.040800 30.074800 2.875400
103.134600 28.327400 2.953300
102.349500 29.226000 2.996400
107.717500 31.373800 2.872800
102.259600 27.848600 2.943200
109.375600 34.112800 3.014500
106.800200 33.229300 2.924500
108.323400 33.325300 3.002600
108.924000 34.030000 3.037100
107.716100 32.910100 2.962900
108.324200 34.055300 3.023600
# 105.443000 29.379200 11 1 2 0
106.020600 34.342500 3.019200
104.770000 26.650000 3.023200
104.303000 26.907100 2.919400
103.187700 27.809500 3.010400
101.512500 28.995800 3.037600
103.927600 29.793900 2.932500
104.548200 32.415700 2.846500
102.750300 26.854800 2.986900
101.011700 30.034400 3.011300
101.677600 27.466900 2.914400
103.716900 27.321900 2.934700
# 108.370000 30.245000 9 1 2 0
106.916600 28.875000 3.080500
106.020600 34.342500 2.964400
104.770000 26.650000 3.125900
103.603100 32.649700 2.874400
109.037200 32.669800 2.907200
109.212400 34.352300 2.964200
108.323400 33.325300 2.964900
108.924000 34.030000 2.999300
108.324200 34.055300 3.001900
# 106.916600 28.875000 20 1 2 0
108.460700 30.751900 3.012200
104.023200 34.428900 3.080300
104.677500 32.949700 2.991400
102.252800 26.653000 3.040700
104.515600 28.178900 2.920500
103.570300 28.272200 2.910400
100.861500 27.714300 2.958300
101.271900 27.932400 2.949000
102.750300 26.854800 3.031300
107.717500 31.373800 2.848900
102.449100 27.861500 2.972200
101.011700 30.034400 2.875200
102.259600 27.848600 2.978000
109.375600 34.112800 2.964300
107.817000 34.128300 2.920300
108.323400 33.325300 2.899600
107.285200 34.070700 2.951200
107.716100 32.910100 2.865100
108.324200 34.055300 2.935400
103.716900 27.321900 3.018500
# 108.460700 30.751900 12 1 2 0
107.826500 29.188000 2.988700
105.764100 33.732800 2.977600
103.230800 34.061800 2.973000
104.380600 33.811400 2.968500
108.130000 28.220000 3.091700
109.494400 30.276200 2.982900
101.742500 26.503300 2.935500
102.750300 26.854800 2.905500
106.139500 33.356800 2.946300
107.817000 34.128300 3.067600
108.924000 34.030000 3.028200
103.716900 27.321900 2.933800
# 107.826500 29.188000 9 1 2 0
105.764100 33.732800 2.908400
104.380600 33.811400 2.890500
108.879300 30.373100 3.097900
104.515600 28.178900 2.989700
103.134600 28.327400 2.930600
102.542400 27.383900 3.093900
107.817000 34.128300 2.988900
108.924000 34.030000 3.003000
108.324200 34.055300 2.974700
# 106.827300 29.858300 10 1 2 0
105.350000 27.243500 2.925700
104.770000 26.650000 2.958400
104.735900 28.636000 2.887200
102.750300 26.854800 2.955600
107.717500 31.373800 2.916900
109.037200 32.669800 2.884300
107.817000 34.128300 2.934800
106.800200 33.229300 2.962500
108.924000 34.030000 2.966000
108.324200 34.055300 2.956500
# 105.764100 33.732800 14 1 2 0
103.230800 34.061800 3.142500
104.023200 34.428900 3.143200
104.380600 33.811400 3.194900
108.130000 28.220000 3.026200
103.187700 27.809500 2.919300
106.744500 31.840800 3.060200
101.121500 30.991000 3.061900
102.252800 26.653000 2.950500
103.570300 28.272200 2.872700
103.852100 31.680900 3.137800
102.542400 27.383900 2.983100
102.750300 26.854800 2.955400
102.357900 30.995000 3.131100
103.568900 30.869200 3.065400
# 103.230800 34.061800 13 1 2 0
104.303000 26.907100 2.978700
109.494400 30.276200 2.986900
104.431100 31.638000 3.034800
106.744500 31.840800 3.063900
101.121500 30.991000 3.027300
104.545600 31.004500 2.923200
103.134600 28.327400 3.021200
105.227700 32.593200 3.049300
107.717500 31.373800 3.010600
104.102500 30.200900 2.877600
104.672900 31.792500 3.030300
107.009700 33.018300 3.171800
106.800200 33.229300 3.183600
# 102.060100 34.020000 25 1 2 0
104.991700 33.357400 3.102900
104.677500 32.949700 3.040300
104.380600 33.811400 3.066500
105.350000 27.243500 2.955800
103.757800 30.910000 3.094800
101.121500 30.991000 3.029500
102.986700 32.063700 3.034300
104.545600 31.004500 2.959800
103.570300 28.272200 3.038400
100.861500 27.714300 3.088800
102.223900 31.903900 3.052900
101.271900 27.932400 3.088900
103.852100 31.680900 3.067800
101.742500 26.503300 3.120700
100.979900 32.268700 2.975000
102.349500 29.226000 3.093200
102.750300 26.854800 3.117700
103.603100 32.649700 3.010600
102.357900 30.995000 3.104700
101.677600 27.466900 3.095500
104.672900 31.792500 3.035200
107.009700 33.018300 3.116400
106.139500 33.356800 3.099200
106.800200 33.229300 3.117200
107.716100 32.910100 3.130300
# 104.023200 34.428900 20 1 2 0
104.303000 26.907100 2.959200
104.431100 31.638000 3.067900
106.744500 31.840800 3.067600
101.121500 30.991000 3.044700
103.927600 29.793900 2.900700
100.861500 27.714300 3.063700
103.533600 28.840500 2.976100
101.271900 27.932400 3.101500
102.173900 28.332600 3.081500
104.548200 32.415700 3.134700
100.979900 32.268700 2.987100
103.603100 32.649700 3.023300
103.587600 31.479000 3.068900
103.789500 29.052600 2.931900
107.717500 31.373800 3.015800
101.011700 30.034400 3.064100
103.568900 30.869200 3.027100
109.037200 32.669800 3.188600
107.009700 33.018300 3.170400
109.375600 34.112800 2.936500
# 106.020600 34.342500 17 1 2 0
108.879300 30.373100 3.043100
106.744500 31.840800 3.090800
103.757800 30.910000 3.051800
101.121500 30.991000 3.068200
102.252800 26.653000 2.975400
104.397900 29.571700 2.907400
103.570300 28.272200 2.902900
102.223900 31.903900 3.040800
102.173900 28.332600 3.115600
102.542400 27.383900 2.929400
104.548200 32.415700 3.167900
100.979900 32.268700 3.012200
103.603100 32.649700 3.046200
107.717500 31.373800 3.021800
102.357900 30.995000 3.105100
101.011700 30.034400 3.092800
109.375600 34.112800 2.857100
# 104.991700 33.357400 17 1 2 0
109.494400 30.276200 2.927100
103.757800 30.910000 3.073300
103.454200 29.576700 2.914200
102.252800 26.653000 3.033800
104.545600 31.004500 2.921700
103.927600 29.793900 2.848000
103.570300 28.272200 2.899100
103.533600 28.840500 2.896300
102.223900 31.903900 3.103700
100.979900 32.268700 3.051700
103.603100 32.649700 3.194600
101.011700 30.034400 3.120100
109.037200 32.669800 3.150300
107.817000 34.128300 3.115900
107.285200 34.070700 3.084100
107.716100 32.910100 3.167700
103.716900 27.321900 2.918000
# 104.677500 32.949700 9 1 2 0
108.130000 28.220000 2.948400
108.879300 30.373100 2.873500
103.187700 27.809500 2.979500
102.223900 31.903900 3.108800
102.964700 33.581500 3.049700
103.587600 31.479000 3.172600
101.011700 30.034400 3.107700
103.568900 30.869200 3.078800
103.716900 27.321900 2.899000
# 104.380600 33.811400 16 1 2 0
109.494400 30.276200 3.054200
102.172600 30.117300 3.036500
102.986700 32.063700 2.977900
103.927600 29.793900 2.863600
103.570300 28.272200 2.944000
102.542400 27.383900 3.020100
102.964700 33.581500 3.015200
103.789500 29.052600 2.911200
107.717500 31.373800 3.000800
102.357900 30.995000 3.052800
102.449100 27.861500 3.026300
103.568900 30.869200 3.056900
109.037200 32.669800 3.207200
107.009700 33.018300 3.206900
109.375600 34.112800 2.898000
103.716900 27.321900 2.956000
# 105.350000 27.243500 21 1 2 0
109.494400 30.276200 3.158800
103.187700 27.809500 3.139900
102.252800 26.653000 3.115300
102.986700 32.063700 2.905600
106.840200 30.416300 2.924100
101.512500 28.995800 3.126300
101.271900 27.932400 3.068200
102.173900 28.332600 3.099500
102.542400 27.383900 3.131700
100.979900 32.268700 3.077000
102.750300 26.854800 3.102000
103.789500 29.052600 3.009100
105.901600 31.018300 2.921600
107.717500 31.373800 2.901300
102.449100 27.861500 3.088900
101.677600 27.466900 3.100800
109.212400 34.352300 2.928400
107.817000 34.128300 2.917500
108.924000 34.030000 2.954500
108.324200 34.055300 2.937000
103.716900 27.321900 3.148400
# 108.130000 28.220000 14 1 2 0
104.770000 26.650000 3.181300
103.187700 27.809500 3.158700
104.735900 28.636000 2.957400
106.840200 30.416300 3.018900
104.515600 28.178900 3.132400
101.512500 28.995800 3.004300
100.861500 27.714300 3.098200
105.413600 28.872400 2.959300
102.449100 27.861500 3.123700
101.011700 30.034400 2.966000
102.259600 27.848600 3.106900
109.037200 32.669800 3.035700
108.924000 34.030000 3.076700
107.716100 32.910100 2.980000
# 104.770000 26.650000 17 1 2 0
106.744500 31.840800 2.853100
104.545600 31.004500 2.887700
101.512500 28.995800 3.064000
105.413600 28.872400 2.975200
102.223900 31.903900 3.043200
101.271900 27.932400 3.029600
101.742500 26.503300 3.089800
102.750300 26.854800 3.017000
103.789500 29.052600 3.054200
101.011700 30.034400 3.068300
102.259600 27.848600 3.003000
101.677600 27.466900 3.034100
107.432500 33.253200 2.897500
107.817000 34.128300 2.920900
108.323400 33.325300 2.930800
108.324200 34.055300 2.937100
103.716900 27.321900 2.949900
# 104.303000 26.907100 10 1 2 0
103.454200 29.576700 3.062800
102.252800 26.653000 3.081500
104.545600 31.004500 2.918100
101.512500 28.995800 3.067600
102.964700 33.581500 3.008900
102.349500 29.226000 3.057600
102.750300 26.854800 3.019900
104.102500 30.200900 2.997600
107.009700 33.018300 2.890200
107.716100 32.910100 2.881100
# 109.494400 30.276200 14 1 2 0
106.840200 30.416300 2.877100
104.515600 28.178900 3.020100
105.413600 28.872400 2.982400
103.533600 28.840500 2.898500
102.964700 33.581500 2.979500
102.449100 27.861500 2.960300
101.677600 27.466900 3.036900
109.037200 32.669800 3.016600
107.432500 33.253200 2.914400
106.139500 33.356800 3.046100
107.817000 34.128300 3.072500
106.800200 33.229300 3.096300
107.285200 34.070700 3.067500
108.924000 34.030000 3.059300
# 108.879300 30.373100 10 1 2 0
104.515600 28.178900 2.894200
102.964700 33.581500 2.885300
